Dec 12,"Ngonlain Bareng Monyet, yg baru bisa bertwiteran",Sama Setuju  Mari #BoikotJNE #StopJNEKadroen #StopPakaiJNE #JNEKadrun #JNE30Ngadrun @JNECare @JNE_ID @JNE_Peru STOP  INTOLERANSI     SARA     PREMANISME & TERORISME
Dec 12,Wak Gok Salam,#BoikotJNE #BoikotJNE
Dec 12,"Ngonlain Bareng Monyet, yg baru bisa bertwiteran",Sama Setuju  Mari #BoikotJNE #StopJNEKadroen #StopPakaiJNE #JNEKadrun #JNE30Ngadrun @JNECare @JNE_ID @JNE_Peru STOP  INTOLERANSI     SARA     PREMANISME & TERORISME
Dec 12,Semiaji,#BoikotJNE
Dec 12,"Ngonlain Bareng Monyet, yg baru bisa bertwiteran",Sama Setuju  Mari #BoikotJNE #StopJNEKadroen #StopPakaiJNE #JNEKadrun #JNE30Ngadrun @JNECare @JNE_ID @JNE_Peru STOP  INTOLERANSI     SARA     PREMANISME & TERORISME
Dec 12,Sape Kow ?,Selama ini rupanya .. diam² ternyata... Gak sangka...   (Pura²) Kaget juga sampai ada teriakan #BoikotJNE nih kak.. 
Dec 12,yudha perdana,Kok bisa yaa Jne gitu #BoikotJNE #JNEKadrun
Dec 12,Endri Yanson,#BoikotJNE
Dec 12,محمد يزيد آدم,Gw sih berharap semoga JNE terus berkembang menjadi perusahaan jasa pengiriman terbaik & terbesar. Boss nya klo ga salah seorang mualaf  semoga yg #BoikotJNE ga berpengaruh banyak buat JNE karena kbanyakan mereka cuma belanja online klo ada promo doang  kita liat aja ngaruh ga
Dec 12,Police Republic of Indonesia,JNE kadang juga lu lambat bener ngirimnya  terlepas dari posisi elu sekarang.  Mending pake AnterAja.  #BoikotJNE
Dec 12,Indra Wijayanto,Sedih eee Gereja dibawa2....Banser gak pernah dibayar woiii mereka iklas menjaga keamanan dan ketertiban sehingga kami tenang beribadah....sedih admin JNE menuduh begitu #BoikotJNE
Dec 12,"Ngonlain Bareng Monyet, yg baru bisa bertwiteran",Sama Setuju  Mari #BoikotJNE #StopJNEKadroen #StopPakaiJNE #JNEKadrun #JNE30Ngadrun @JNECare @JNE_ID @JNE_Peru STOP  INTOLERANSI     SARA     PREMANISME & TERORISME
Dec 12,GS__M™ ,#BoikotJNE
Dec 12,Masbejhoo,Gaskeun lagi masboss #BoikotJNE #BoikotJNE #BoikotJNE
Dec 12,AkuNKamu,Kita tunggu ucapannya pagi ini  dan untuk Aparat keamanan tetap WASPADA jangan sampai lengah.. BRAVO TNI POLRI.. https://youtu.be/2FLJ9OdcSKg #BoikotJNE
Dec 12,Shaik One About,#BoikotJNE
Dec 12,"Ngonlain Bareng Monyet, yg baru bisa bertwiteran",Sama Setuju  Mari #BoikotJNE #StopJNEKadroen #StopPakaiJNE #JNEKadrun #JNE30Ngadrun @JNECare @JNE_ID @JNE_Peru STOP  INTOLERANSI     SARA     PREMANISME & TERORISME
Dec 12,"Ngonlain Bareng Monyet, yg baru bisa bertwiteran",Sama Setuju  Mari #BoikotJNE #StopJNEKadroen #StopPakaiJNE #JNEKadrun #JNE30Ngadrun @JNECare @JNE_ID @JNE_Peru STOP  INTOLERANSI     SARA     PREMANISME & TERORISME
Dec 12,samba madangkara,"Masih bertahan nich Tagar dan tambah lengkap sudah. Klu selama ini @JNE_ID ngendors nya sm ustadz kadrun. Dan pegawainya terinfeksi virus"" cinta kadrun #JNE30Ngadrun #JNEKadrun #BoikotJNE"
Dec 12,byzantium,#BoikotJNE
Dec 12,ekonic,Masih byk operator yg lebih baik pelayanannya om . Ganti aja . #BoikotJNE
Dec 12,محمد يزيد آدم,Setau gw dari dulu JNE paling besar dari jasa2 pengiriman lain mungkin karena ongkir yg terjangkau & jg karyawan tetap yg sudah lama mengabdi pd JNE ini dikasih hadiah umroh gratis JNE  sangat jarang banget perusahaan yg baik spt JNE dinegeri kita. Jadi knp harus #BoikotJNE ?
Dec 12,"Ngonlain Bareng Monyet, yg baru bisa bertwiteran",Oleh karena itu Mari #BoikotJNE #StopJNEKadroen #StopPakaiJNE #JNEKadrun #JNE30Ngadrun @JNECare @JNE_ID @JNE_Peru STOP  INTOLERANSI     SARA     PREMANISME & TERORISME
Dec 12,Rumah Pancasila,Tagar #BoikotJNE jadi trending topic di Twitter. Pihak JNE pun buka suara merespons ajakan tersebut.
Dec 12,GIN,udah lemot kirim barang  pake paket kayu mahal2 pas sampe kayunya ga ada. #BoikotJNE
Dec 12,"Ngonlain Bareng Monyet, yg baru bisa bertwiteran",Oleh karena itu Mari #BoikotJNE #StopJNEKadroen #StopPakaiJNE #JNEKadrun #JNE30Ngadrun @JNECare @JNE_ID @JNE_Peru STOP  INTOLERANSI     SARA     PREMANISME & TERORISME
Dec 12,brams,POS indonesia ah yg jelas2 NKRI nya #BoikotJNE
Dec 12,"Ngonlain Bareng Monyet, yg baru bisa bertwiteran",Tahu Dari yang mereka undang untuk berceramah dan mengucapkan anniversary nya Oleh karena itu Mari #BoikotJNE #StopJNEKadroen #StopPakaiJNE #JNEKadrun #JNE30Ngadrun @JNECare @JNE_ID @JNE_Peru STOP  INTOLERANSI     SARA     PREMANISME & TERORISME
